loss,accuracy,val_loss,val_accuracy
2.4764418601989746,0.32993847131729126,1.018188238143921,0.6566112637519836
0.9665536284446716,0.6915282011032104,0.8269166350364685,0.7334916591644287
0.5411151647567749,0.8307425379753113,0.2584868371486664,0.9140934348106384
0.3462940454483032,0.8955764770507812,0.2672969102859497,0.9169437885284424
0.2608007788658142,0.924394428730011,0.26959115266799927,0.926444947719574
0.20481754839420319,0.9403476715087891,2.7248244285583496,0.3621535897254944
0.1628594994544983,0.9544885754585266,0.28463393449783325,0.9268408417701721
0.142116978764534,0.960716724395752,0.6402023434638977,0.8273159265518188
0.1175587996840477,0.9686040282249451,0.1431472897529602,0.9635787606239319
0.10525742918252945,0.9717180728912354,0.2141115963459015,0.9517022967338562
0.09075316041707993,0.9747810959815979,0.14701008796691895,0.9665083289146423
0.08563687652349472,0.9771038889884949,0.1832239180803299,0.9600158333778381
0.07650640606880188,0.9801414012908936,0.14472730457782745,0.9669042229652405
0.06729735434055328,0.9809582233428955,0.14952842891216278,0.9689627885818481
0.06571415811777115,0.9820047616958618,0.1419101357460022,0.9692794680595398
